Country.Name,Continent,Predominant.Religion,Language,World Climate Data
Algeria,Africa,Islamic,Arabic,BWH
Angola,Africa,Christianity,Portuguese,AW
Benin,Africa,Christianity,French,AW
Botswana,Africa,Christianity,English,BSH
Burkina Faso,Africa,Islamic,French,BSH
Burundi,Africa,Christianity,French,CWB
Cabo Verde,Africa,Christianity,Portuguese,BWH
Cameroon,Africa,Christianity,French,AW
Central African Republic,Africa,Christianity,French,AW
Chad,Africa,Islamic,Arabic,CFA
Comoros,Africa,Islamic,Comorian,AF
"Congo, Dem. Rep.",Africa,Christianity,French,AM
"Congo, Rep.",Africa,Christianity,French,AM
Cote d'Ivoire,Africa,Islamic,French,AW
Djibouti,Africa,Islamic,French,BWH
"Egypt, Arab Rep.",Africa,Islamic,Arabic,BWH
Equatorial Guinea,Africa,Christianity,French,AM
Eswatini,Africa,Christianity,English,CWA
Ethiopia,Africa,Christianity,Oromo,BSH
Gabon,Africa,Christianity,French,AW
"Gambia, The",Africa,Islamic,English,AW
Ghana,Africa,Christianity,English,AW
Guinea,Africa,Islamic,French,AW
Guinea-Bissau,Africa,Islamic,Portuguese,AW
Kenya,Africa,Christianity,Swahili,AW
Lesotho,Africa,Christianity,Sotho,CWB
Liberia,Africa,Christianity,English,AM
Libya,Africa,Islamic,Arabic,BWH
Madagascar,Africa,Christianity,Malagasy,CWB
Malawi,Africa,Christianity,Chichewa,AW
Mali,Africa,Islamic,French,BWH
Mauritania,Africa,Islamic,Arabic,BWH
Mauritius,Africa,Hinduism,English,AM
Morocco,Africa,Islamic,Arabic,BSH
Mozambique,Africa,Christianity,Portuguese,AW
Namibia,Africa,Christianity,English,BWH
Niger,Africa,Islamic,French,BWH
Nigeria,Africa,Islamic,English,AW
Rwanda,Africa,Christianity,English,CFB
Sao Tome and Principe,Africa,Christianity,Portuguese,AS
Senegal,Africa,Islamic,French,BSH
Seychelles,Africa,Christianity,English,AF
Sierra Leone,Africa,Islamic,English,AM
Somalia,Africa,Islamic,Somali,BWH
South Africa,Africa,Christianity,English,BWK
South Sudan,Africa,Christianity,English,AW
Sudan,Africa,Islamic,Arabic,BSH
Tanzania,Africa,Christianity,Swahili,BSH
Togo,Africa,Christianity,French,CFA
Tunisia,Africa,Islamic,Arabic,BWH
Uganda,Africa,Christianity,Swahili,AM
Zambia,Africa,Christianity,English,CWA
Zimbabwe,Africa,Christianity,English,BSH
Afghanistan,Asia,Islamic,Pashto,"DSB	"
Armenia,Asia,Christianity,Armenian,DFB
Azerbaijan,Asia,Islamic,Azerbaijani,BSK
Bahrain,Asia,Islamic,Arabic,BWH
Bangladesh,Asia,Islamic,Bengali,AW
Bhutan,Asia,Buddhism,Dzongkha,CWB
Brunei Darussalam,Asia,Islamic,Malay,AF
Cambodia,Asia,Buddhism,Khmer,AM
China,Asia,Irreligion ,Mandarin,BSK
Georgia,Asia,Christianity,Georgian,CFA
India,Asia,Hinduism,Hindi,AW
Indonesia,Asia,Islamic,Indonesian,AF
"Iran, Islamic Rep.",Asia,Islamic,Persian,BWK
Iraq,Asia,Islamic,Arabic,BWH
Israel,Asia,Judaism,Hebrew,BSH
Japan,Asia,Irreligion ,Japanese,DFB
Jordan,Asia,Islamic,Arabic,CFA
Kazakhstan,Asia,Islamic,Kazakh,BSK
"Korea, Rep.",Asia,Irreligion ,Korean,DWB
Kuwait,Asia,Islamic,Arabic,BWH
Kyrgyz Republic,Asia,Islamic,Kyrgyz,DFB
Lao PDR,Asia,Buddhism,Lao,CWA
Lebanon,Asia,Islamic,Arabic,CSA
Malaysia,Asia,Islamic,Malay,AF
